InletTemperature;MassFlowRate;Power;GapPressure;InitialHeatStrTemperature;InletPressure;GapCompositionHe
1.032000e+00;-1.282000e+02;1.674271e-02;-9.555556e-07;0.000000e+00;-8.551020e-07;-6.873400e+02
8.288571e-01;-1.115600e+02;1.196697e-03;0.000000e+00;0.000000e+00;2.134694e-07;-0.000000e+00
-2.764867e-02;8.483316e+00;-5.429122e-05;0.000000e+00;0.000000e+00;7.134669e-08;-5.100986e-10
